entity	label
"http://dbpedia.org/resource/Columbus,_Ohio"	"Columbus, Ohio"
http://dbpedia.org/resource/Commonwealth_of_England	Commonwealth of England
"http://dbpedia.org/resource/Concord,_Michigan"	"Concord, Michigan"
"http://dbpedia.org/resource/Concord,_New_Hampshire"	"Concord, New Hampshire"
http://dbpedia.org/resource/Confederate_States_of_America	Confederate States of America
http://dbpedia.org/resource/Coral_Sea_Islands	Coral Sea Islands
http://dbpedia.org/resource/Corcovado	Corcovado
http://dbpedia.org/resource/Corinth	Corinth
http://dbpedia.org/resource/Corona_Australis	Corona Australis
http://dbpedia.org/resource/Corona_Borealis	Corona Borealis
http://dbpedia.org/resource/Craven_Cottage	Craven Cottage
http://dbpedia.org/resource/Crux	Crux
http://dbpedia.org/resource/Cyclades	Cyclades
http://dbpedia.org/resource/Cygnus_(constellation)	Cygnus (constellation)
http://dbpedia.org/resource/Czechoslovakia	Czechoslovakia
http://dbpedia.org/resource/Dahomey	Dahomey
http://dbpedia.org/resource/Dartmoor	Dartmoor
"http://dbpedia.org/resource/Dartmouth,_Devon"	"Dartmouth, Devon"
"http://dbpedia.org/resource/Darwin,_Northern_Territory"	"Darwin, Northern Territory"
http://dbpedia.org/resource/Daugava_(river)	Daugava (river)
"http://dbpedia.org/resource/Davenport,_Iowa"	"Davenport, Iowa"
"http://dbpedia.org/resource/Davis,_California"	"Davis, California"
"http://dbpedia.org/resource/Dayton,_Ohio"	"Dayton, Ohio"
http://dbpedia.org/resource/Dead_Sea	Dead Sea
http://dbpedia.org/resource/Deception_Pass	Deception Pass
"http://dbpedia.org/resource/Dedham,_Massachusetts"	"Dedham, Massachusetts"
http://dbpedia.org/resource/Dejima	Dejima
http://dbpedia.org/resource/Delaware	Delaware
http://dbpedia.org/resource/Delphi	Delphi
http://dbpedia.org/resource/Delphinus	Delphinus
"http://dbpedia.org/resource/Des_Moines,_Iowa"	"Des Moines, Iowa"
http://dbpedia.org/resource/Detroit	Detroit
http://dbpedia.org/resource/Detroit_River	Detroit River
